כס;האעא;םמלונ המךףלוםעא;סףללא;ןוםט
50129529381;11.03.2022;19507;400,00;0
50129598426;11.03.2022;8065;4 875,51;0
50129505483;11.03.2022;3304;6 047,60;0
50129514710;11.03.2022;12090;5 181,44;0
50129566302;11.03.2022;12003;8 797,23;0
50129563515;11.03.2022;14888;2 742,52;0
50129554718;11.03.2022;898811;3 346,00;0
50129570743;11.03.2022;929001;4 443,69;0
50129590570;11.03.2022;940880;200,00;0
50129554471;11.03.2022;13632;7 566,44;0
50129519546;11.03.2022;12895;8 098,40;0
50129575301;11.03.2022;11136;3 800,00;0
50129533678;11.03.2022;222084;3 750,01;0
50129525667;11.03.2022;450663;8 388,82;0
50129590570;11.03.2022;317742;200,00;0
50129570563;11.03.2022;213800;4 000,00;0
50129505612;11.03.2022;213774;5 236,13;0
50129502337;11.03.2022;49410;9 316,00;0
50129590619;11.03.2022;27971;11 723,62;0
50129539367;11.03.2022;268639;5 074,29;0
50129593416;11.03.2022;727125;4 281,80;0
50129501385;10.03.2022;522188;8 836,36;0
50129595618;10.03.2022;121920;3 599,17;0
50129528451;10.03.2022;38139;7 155,35;0
50129532738;10.03.2022;924367;7 737,43;0
50129532366;10.03.2022;16643;3 579,39;0
50129507524;12.03.2022;279973;18 161,34;0
50129575316;13.03.2022;848394;13 473,86;0
50129532491;13.03.2022;765809;9 780,28;0
